county_name,fips,fips2,state_name
Alabama -- Statewide,01000,'01000',Alabama -- Statewide
Autauga County,01001,'01001', Alabama
Baldwin County,01003,'01003', Alabama
Barbour County,01005,'01005', Alabama
Bibb County,01007,'01007', Alabama
Blount County,01009,'01009', Alabama
Bullock County,01011,'01011', Alabama
Butler County,01013,'01013', Alabama
Calhoun County,01015,'01015', Alabama
Chambers County,01017,'01017', Alabama
Cherokee County,01019,'01019', Alabama
Chilton County,01021,'01021', Alabama
Choctaw County,01023,'01023', Alabama
Clarke County,01025,'01025', Alabama
Clay County,01027,'01027', Alabama
Cleburne County,01029,'01029', Alabama
Coffee County,01031,'01031', Alabama
Colbert County,01033,'01033', Alabama
Conecuh County,01035,'01035', Alabama
Coosa County,01037,'01037', Alabama
Covington County,01039,'01039', Alabama
Crenshaw County,01041,'01041', Alabama
Cullman County,01043,'01043', Alabama
Dale County,01045,'01045', Alabama
Dallas County,01047,'01047', Alabama
DeKalb County,01049,'01049', Alabama
Elmore County,01051,'01051', Alabama
Escambia County,01053,'01053', Alabama
Etowah County,01055,'01055', Alabama
Fayette County,01057,'01057', Alabama
Franklin County,01059,'01059', Alabama
Geneva County,01061,'01061', Alabama
Greene County,01063,'01063', Alabama
Hale County,01065,'01065', Alabama
Henry County,01067,'01067', Alabama
Houston County,01069,'01069', Alabama
Jackson County,01071,'01071', Alabama
Jefferson County,01073,'01073', Alabama
Lamar County,01075,'01075', Alabama
Lauderdale County,01077,'01077', Alabama
Lawrence County,01079,'01079', Alabama
Lee County,01081,'01081', Alabama
Limestone County,01083,'01083', Alabama
Lowndes County,01085,'01085', Alabama
Macon County,01087,'01087', Alabama
Madison County,01089,'01089', Alabama
Marengo County,01091,'01091', Alabama
Marion County,01093,'01093', Alabama
Marshall County,01095,'01095', Alabama
Mobile County,01097,'01097', Alabama
Monroe County,01099,'01099', Alabama
Montgomery County,01101,'01101', Alabama
Morgan County,01103,'01103', Alabama
Perry County,01105,'01105', Alabama
Pickens County,01107,'01107', Alabama
Pike County,01109,'01109', Alabama
Randolph County,01111,'01111', Alabama
Russell County,01113,'01113', Alabama
St. Clair County,01115,'01115', Alabama
Shelby County,01117,'01117', Alabama
Sumter County,01119,'01119', Alabama
Talladega County,01121,'01121', Alabama
Tallapoosa County,01123,'01123', Alabama
Tuscaloosa County,01125,'01125', Alabama
Walker County,01127,'01127', Alabama
Washington County,01129,'01129', Alabama
Wilcox County,01131,'01131', Alabama
Winston County,01133,'01133', Alabama
Unknown Or Undefined,01999,'01999', Alabama
Alaska -- Statewide,02000,'02000',Alaska -- Statewide
Aleutian East Borough,02013,'02013', Alaska
Aleutian West Census Area,02016,'02016', Alaska
Anchorage Borough,02020,'02020', Alaska
Bethel Census Area,02050,'02050', Alaska
Bristol Bay Borough,02060,'02060', Alaska
Denali Borough,02068,'02068', Alaska
Dillingham Census Area,02070,'02070', Alaska
Fairbanks North Star Borough,02090,'02090', Alaska
Haines Borough,02100,'02100', Alaska
Hoonah-Angoon Census Area,02105,'02105', Alaska
Juneau Borough,02110,'02110', Alaska
Kenai Peninsula Borough,02122,'02122', Alaska
Ketchikan Gateway Borough,02130,'02130', Alaska
Kodiak Island Borough,02150,'02150', Alaska
Lake and Peninsula Borough,02164,'02164', Alaska
Matanuska-Susitna Borough,02170,'02170', Alaska
Nome Census Area,02180,'02180', Alaska
North Slope Borough,02185,'02185', Alaska
Northwest Arctic Borough,02188,'02188', Alaska
Petersburg Census Area,02195,'02195', Alaska
Prince of Wales-Hyder Census Area,02198,'02198', Alaska
Sitka Borough,02220,'02220', Alaska
Skagway Municipality,02230,'02230', Alaska
Southeast Fairbanks Census Area,02240,'02240', Alaska
Valdez-Cordova Census Area,02261,'02261', Alaska
Wade Hampton Census Area,02270,'02270', Alaska
Wrangell City and Borough,02275,'02275', Alaska
Yakutat Borough,02282,'02282', Alaska
Yukon-Koyukuk Census Area,02290,'02290', Alaska
Unknown Or Undefined,02999,'02999', Alaska
Arizona -- Statewide,04000,'04000',Arizona -- Statewide
Apache County,04001,'04001', Arizona
Cochise County,04003,'04003', Arizona
Coconino County,04005,'04005', Arizona
Gila County,04007,'04007', Arizona
Graham County,04009,'04009', Arizona
Greenlee County,04011,'04011', Arizona
La Paz County,04012,'04012', Arizona
Maricopa County,04013,'04013', Arizona
Mohave County,04015,'04015', Arizona
Navajo County,04017,'04017', Arizona
Pima County,04019,'04019', Arizona
Pinal County,04021,'04021', Arizona
Santa Cruz County,04023,'04023', Arizona
Yavapai County,04025,'04025', Arizona
Yuma County,04027,'04027', Arizona
Unknown Or Undefined,04999,'04999', Arizona
Arkansas -- Statewide,05000,'05000',Arkansas -- Statewide
Arkansas County,05001,'05001', Arkansas
Ashley County,05003,'05003', Arkansas
Baxter County,05005,'05005', Arkansas
Benton County,05007,'05007', Arkansas
Boone County,05009,'05009', Arkansas
Bradley County,05011,'05011', Arkansas
Calhoun County,05013,'05013', Arkansas
Carroll County,05015,'05015', Arkansas
Chicot County,05017,'05017', Arkansas
Clark County,05019,'05019', Arkansas
Clay County,05021,'05021', Arkansas
Cleburne County,05023,'05023', Arkansas
Cleveland County,05025,'05025', Arkansas
Columbia County,05027,'05027', Arkansas
Conway County,05029,'05029', Arkansas
Craighead County,05031,'05031', Arkansas
Crawford County,05033,'05033', Arkansas
Crittenden County,05035,'05035', Arkansas
Cross County,05037,'05037', Arkansas
Dallas County,05039,'05039', Arkansas
Desha County,05041,'05041', Arkansas
Drew County,05043,'05043', Arkansas
Faulkner County,05045,'05045', Arkansas
Franklin County,05047,'05047', Arkansas
Fulton County,05049,'05049', Arkansas
Garland County,05051,'05051', Arkansas
Grant County,05053,'05053', Arkansas
Greene County,05055,'05055', Arkansas
Hempstead County,05057,'05057', Arkansas
Hot Spring County,05059,'05059', Arkansas
Howard County,05061,'05061', Arkansas
Independence County,05063,'05063', Arkansas
Izard County,05065,'05065', Arkansas
Jackson County,05067,'05067', Arkansas
Jefferson County,05069,'05069', Arkansas
Johnson County,05071,'05071', Arkansas
Lafayette County,05073,'05073', Arkansas
Lawrence County,05075,'05075', Arkansas
Lee County,05077,'05077', Arkansas
Lincoln County,05079,'05079', Arkansas
Little River County,05081,'05081', Arkansas
Logan County,05083,'05083', Arkansas
